Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Lithium 7",nuclet,N0,lithium,N0,0,0,0,0,0,0
"Lithium 7",proton,N0,lithium,P1,80.901699437495,-50,0,80.901699437495,-50,0
"Lithium 7",proton,N0,lithium,P3,-80.901699437495,-50,0,-80.901699437495,-50,0
"Lithium 7",proton,N0,lithium,P4,50,0,-80.901699437495,50,0,-80.901699437495
"Lithium 7",proton,N0,lithium,P5,-50,0,-80.901699437495,-50,0,-80.901699437495
"Lithium 7",proton,N0,lithium,P9,0,8.08,4.9945,0,8.08,4.9945
"Lithium 7",proton,N0,lithium,P10,0,-80.901699437495,-50,0,-80.901699437495,-50
"Lithium 7",proton,N0,lithium,P11,0,-80.901699437495,50,0,-80.901699437495,50
"Lithium 7",electron,N0,lithium,E01,0,0,-80.901699437495,0,0,-80.901699437495
"Lithium 7",electron,N0,lithium,E02,40.450849718747,-20.96,2.49725,40.450849718747,-20.96,2.49725
"Lithium 7",electron,N0,lithium,E03,0,-80.901699437495,0,0,-80.901699437495,0
