Element,Type,"Nuclet ID","Nuclet Type","Particle ID",X,Y,Z,Xn,Yn,Zn
"Potassium 39",nuclet,N0,final,N0,0,0,0,0,0,0
"Potassium 39",proton,N0,final,P0,61.11,51.8,0,61.11,51.8,0
"Potassium 39",proton,N0,final,P1,77.1,-47.5,0,77.1,-47.5,0
"Potassium 39",proton,N0,final,P2,-61.11,51.8,0,-61.11,51.8,0
"Potassium 39",proton,N0,final,P3,-77.1,-47.5,0,-77.1,-47.5,0
"Potassium 39",proton,N0,final,P4,49.5,0,-82.55,49.5,0,-82.55
"Potassium 39",proton,N0,final,P5,-49.5,0,-82.55,-49.5,0,-82.55
"Potassium 39",proton,N0,final,P6,-49.5,0,82.55,-49.5,0,82.55
"Potassium 39",proton,N0,final,P7,49.5,0,82.55,49.5,0,82.55
"Potassium 39",proton,N0,final,P8,0,83.7,-71.005,0,83.7,-71.005
"Potassium 39",proton,N0,final,P9,0,83.7,71.005,0,83.7,71.005
"Potassium 39",proton,N0,final,P10,0,-80.25,-50,0,-80.25,-50
"Potassium 39",proton,N0,final,P11,0,-80.25,50,0,-80.25,50
"Potassium 39",proton,N0,final,P12,95.95,87.15,88.25,95.95,87.15,88.25
"Potassium 39",proton,N0,final,P13,142.75,8.6,49.85,142.75,8.6,49.85
"Potassium 39",proton,N0,final,P14,142.75,8.6,-49.85,142.75,8.6,-49.85
"Potassium 39",proton,N0,final,P15,95.95,87.15,-88.25,95.95,87.15,-88.25
"Potassium 39",neutron,N0,final,U00,142.5,95,0,142.5,95,0
"Potassium 39",nuclet,N01,final,N01,-144.8307,88.476,0,0,0,0
"Potassium 39",proton,N01,final,P0,-190.0698200632,97.878760820226,65.442205073368,61.11,51.8,0
"Potassium 39",proton,N01,final,P1,-142.44328398234,11.199268210951,47.151531987434,77.1,-47.5,0
"Potassium 39",proton,N01,final,P2,-154.1793613,160.90364401044,-32.931914839472,-61.11,51.8,0
"Potassium 39",proton,N01,final,P3,-97.161752798514,90.715198401851,-76.963091564848,-77.1,-47.5,0
"Potassium 39",proton,N01,final,P4,-93.526372897747,90.353370605879,81.419248339648,49.5,0,-82.55
"Potassium 39",proton,N01,final,P5,-64.454572721364,141.40445419148,1.7347624014123,-49.5,0,-82.55
"Potassium 39",proton,N01,final,P6,-196.13502710225,86.598629394121,-81.419248339648,-49.5,0,82.55
"Potassium 39",proton,N01,final,P7,-225.20682727864,35.547545808524,-1.7347624014123,49.5,0,82.55
"Potassium 39",proton,N01,final,P8,-132.30082419798,178.15850438479,62.027821537256,0,83.7,-71.005
"Potassium 39",proton,N01,final,P9,-245.56515688502,131.01752813117,-9.4967155029501,0,83.7,71.005
"Potassium 39",proton,N01,final,P11,-142.42524471094,8.4912645633521,-50.365845391314,0,-80.25,50
"Potassium 39",proton,N01,final,P16,-92.18824001718,236.08641897352,-5.4335179598167,-95.95,87.15,-88.25
"Potassium 39",proton,N01,final,P17,-67.683569618831,185.42838177826,-87.092484988505,-142.75,8.6,-49.85
"Potassium 39",proton,N01,final,P18,-147.20229343333,152.33243548937,-137.30723284365,-142.75,8.6,49.85
"Potassium 39",proton,N01,final,P19,-232.96110614817,177.49630342698,-94.329235075487,-95.95,87.15,88.25
"Potassium 39",neutron,N01,final,U10,-153.04129023799,236.9961536998,-84.885806545804,-142.5,95,0
"Potassium 39",nuclet,N010,lithium,N010,-233.97970197311,83.67594293502,144.33762204589,0,0,0
"Potassium 39",proton,N010,lithium,P1,-150.92299948617,37.423982678501,141.61267868863,80.901699437495,-50,0
"Potassium 39",proton,N010,lithium,P3,-284.80626421762,84.597599899533,63.957922552051,-80.901699437495,-50,0
"Potassium 39",proton,N010,lithium,P4,-155.40519661426,137.24421642768,145.59147790001,50,0,-80.901699437495
"Potassium 39",proton,N010,lithium,P5,-238.1496047431,166.39911524255,97.598199219523,-50,0,-80.901699437495
"Potassium 39",proton,N010,lithium,P9,-238.88059681913,83.131626948018,152.45651236812,0,8.08,4.9945
"Potassium 39",proton,N010,lithium,P11,-230.89725744557,4.8865842714255,91.16036686109,0,-80.901699437495,50
